name,lat,long
Tanjung Mas Raya,-6.3083013,106.839167
LP3I,-6.2867476,106.8436766
Terminal Pasar Minggu 2,-6.2825237,106.8445693
Masjid At Taqwa 1,-6.2771014,106.8458623
Jalan Siaga Bakti 2,-6.2733034,106.8464148
Brimob Pejaten Barat 2,-6.2709231,106.8464423
PMD,-6.2691531,106.8460508
Carrefour Pejaten Barat,-6.2678921,106.8453239
Seberang Haji Samali,-6.2656759,106.8441819
Empang 3,-6.2633041,106.8431942
Jalan Warga,-6.2731722,106.8465604
Haji Samali,-6.2658172,106.8440215
POM AD 2,-6.2618014,106.8430984
SMK Karya Teladan,-6.2584665,106.843555
POM AD 1,-6.261949,106.8432729
Pertani,-6.2566328,106.8433062
YBK,-6.2709293,106.8465971
Masjid Guru Amin,-6.2581375,106.843386
Jalan Potlot,-6.2546042,106.8426617
Bumiputera,-6.206897,106.8223527
Satrio 6,-6.2230192,106.8231416
Seberang Standard Chartered,-6.2174166,106.8194183
Mega Kuningan,-6.2246491,106.8271155
Pos Polisi Satrio,-6.2250483,106.8283333
Menara Anugerah,-6.231047,106.8279527
The East,-6.2291422,106.8254919
Menara Prima,-6.2299587,106.8262692
Tanah Abang AURI,-6.1861165,106.8154022
Karet Tengsin,-6.2069827,106.8169241
Awaludin 2,-6.1991749,106.814635
Flyover Karet 2,-6.2148917,106.8184783
Jalan Karet Pasar Baru Barat IV,-6.2092039,106.817512
KPP Pratama Tanah Abang,-6.197583,106.8144242
Rusun Tanah Abang 2,-6.1921904,106.8146894
Kelurahan Kebon Kacang,-6.1908115,106.8149476
Masjid Jami Al Makmur 2,-6.1890838,106.8151641
JPO Blok E,-6.1846856,106.8148915
Jalan Karet Pasar Baru Barat I,-6.2049105,106.8163596
Kesatrian Kowal Cut Nyak Dhien,-6.1944012,106.8143562
Kecamatan Tanah Abang,-6.2000705,106.8149662
Blok E,-6.184867,106.8145894
Infinia Park,-6.2125485,106.8456688
Kecamatan Tebet 2,-6.2313743,106.8457925
