name,lat,long
Lotte Mart,-6.193704524835516,106.73392464390004
Lotte Mart,-6.27667885,106.79686
Giant,-6.302160543301053,106.81473012317143
Cahaya Swalayan,-6.30561548329477,106.81428165959085
Giant Ekspress,-6.218958931030018,106.75461469194812
Hypermart,-6.18560192565648,106.73971276967684
Ranch Market Sultan Iskandar Muda,-6.262608244973438,106.78415204704733
Mu Gung Hwa,-6.235443650000001,106.81595254999999
Supermarket Santa,-6.2391139345160935,106.812240649675
Carrefour,-6.137849858739784,106.87752566433251
Ranch Market Kemang,-6.2639947621481005,106.81566580098858
Papaya,-6.1857453002070235,106.82549330387616
Giant,-6.241893019601755,106.82603493686797
Super Indo,-6.260826249999999,106.82943434999999
Super Indo,-6.252984576692091,106.84305606892316
Pasar Pagi Asemka,-6.140108176726256,106.8119580498081
Indogrosir,-6.212892312104372,106.88309024949328
Ranch Market,-6.188377870902377,106.7563020241591
Tip Top Swalayan,-6.200698845734734,106.88635320386815
Carefour,-6.197824640117106,106.75149691306588
Srengseng Junction,-6.2092322142606955,106.759115626243
Super Indo,-6.184028099999996,106.8909741
Courts Megastore Bekasi,-6.185732874122408,106.97420333424493
Carrefour,-6.165572990559564,106.8192955856349
Giant Ekspres,-6.2999903,106.77798170000003
Pasar Gardu,-6.29164345,106.89337539999998
Tip Top,-6.243231754270351,106.90148943273587
Super Indo,-6.132185312909452,106.71088406276125
Lotte Mart,-6.131551161564418,106.70434639668993
Super Indo,-6.142262778462639,106.70762448831601
Mini Super Jatinegara,-6.2224858708998365,106.86841119669793
HERO,-6.282910093816677,106.79160259769829
Mitra 10 Kalideres,-6.154409945273294,106.71440543697975
Transmart Carrefour,-6.247578880684054,106.93175511860024
Aneka Buana Pondok Labu Supermarket,-6.309379425628667,106.79407438915744
Alfamidi,-6.235694065851463,106.74445787991498
Super Indo,-6.167062750000001,106.7246535
Ibunda Grosir,-6.317881484308776,106.87793706404305
Toserba Yogya,-6.239416738356541,106.90033368162368
Super Indo,-6.271325105413492,106.7575779213274
Carefour Express Kebayoran,-6.238806350589451,106.77769557281246
Carrefour,-6.287714725630132,106.7759535566268
PIK Fresh Market,-6.103225022057815,106.74154397226015
Superindo,-6.117286395429685,106.78339452838047
Hari-Hari Swalayan,-6.13828535841349,106.77531727316742
Superindo,-6.137295092265079,106.78275097341779
Alfamart,-6.231847716820777,106.92916647548597
Kemchick,-6.093706151056248,106.74008220623752
Gelael,-6.242738898586458,106.84723298210153
Alfamidi Super Gongseng,-6.3268616102637,106.85361077682026
alfamidi,-6.209427758110905,106.82660399209335
Plaza Depok,-6.3921662,106.8256814
Giant,-6.3235901,106.7838136
Indomaret,-6.4050563,106.7631908
MM,-6.4447608,106.8305265
SB Mart,-6.4450631,106.8310137
Indomaret,-6.383267,106.875757
Giant Cimanggis,-6.3709535,106.8608768
Hypermart Tole Iskandar Depok,-6.4056905,106.8516785
Alfamart,-6.3596156,106.8170608
Indomaret,-6.3596833,106.8170262
Indomaret,-6.3570209,106.8528699
Area Komersil,-6.4201046,106.8586445
Area Komersil,-6.420312,106.8594885
Grocery Outlet,-6.3722567,106.8493017
Grocery Outlet,-6.3746971,106.8495189
Hypermart Cimanggis,-6.371163341391115,106.86036516523997
Pasar Segar Depok,-6.402864452675332,106.8336979040059
Transmart,-6.400408600522448,106.8167032966024
Pujasari,-6.399844098031733,106.74197457542148
Swalayan H. Pii,-6.401241385366079,106.76065651289548
AlfaMart,-6.4050359366911875,106.7644286838307
AlfaMart,-6.40389492454551,106.77106541161619
Indomaret,-6.4050713,106.76318885000002
Super Indo,-6.395090329293652,106.8023334965164
alfa x,-6.355081277482633,106.84170111233385
Tip Top,-6.403185478767489,106.83519977093226
Giant,-6.401284015661135,106.74188035564364
Prima Freshmart,-6.361163749999999,106.84317010000001
Indogrosir Ciputat,-6.378096191226317,106.74794599751098
Food Basics,-6.394329343763615,106.79515972338855
Giant,-6.6013356,106.8071123
Toserba Yogya Plaza Indah,-6.5616076,106.7905608
Total Buah Segar,-6.6199062,106.8163615
Matahari Foodmart,-6.6219553,106.8176494
Giant,-6.6072248,106.8100186
Super Indo Pahlawan Bogor,-6.615775,106.8039426
Alfamart,-6.6333399,106.825494
Super Indo Plaza Jembatan Merah,-6.5959716,106.7869464
AA PRINT/LOKET,-6.6089754,106.8053559
indomaret,-6.5826432,106.7901823
Big Mart,-6.590468595006506,106.78593441663241
Naga Swalayan,-6.594960420116772,106.78477349843976
Ngesti,-6.603017367516826,106.80548264075337
ADA Swalayan Bogor,-6.606270713156639,106.80931563296184
Super Indo Pajajaran Bogor,-6.607075279833398,106.8098392124139
Giant Yasmin,-6.5582039347704395,106.77151832092326
Alfa Mart Cibeureum,-6.646950112590118,106.78056385085867
Lotte Grosir Bogor,-6.557543218111816,106.77967364118851
GIANT,-6.582002350288433,106.76785121647504
Bogor Junction,-6.589256486911231,106.79631684388588
alfamart,-6.529965010434044,106.77021890199646
Transmart Yasmin,-6.556045708782488,106.77557127790159
Super Indo Pahlawan Bogor,-6.615813375726704,106.80353565374571
TIP TOP Bogor,-6.57106621400282,106.76706661753337
Indomaret,-6.5521009,106.77267609999998
IndoMaret,-6.1134136,106.6850415
Giant Kreo Ciledug,-6.2353329,106.7395639
Living Plaza Goldland Karawaci,-6.2198436,106.615247
Circle K,-6.123623,106.6510939
Hypermart,-6.1811525,106.642923
dnalnredom,-6.1973488,106.636222
Alfamart,-6.144004,106.6302767
Alfamart,-6.2234824,106.6624277
Alfamart,-6.2261275,106.6597991
Alfamart Rasuna Said,-6.2060883,106.6495837
Toko Beras Medan Raya,-6.2084102,106.6489539
Toko Hasmah,-6.2101187,106.6482884
Graciano Mubarokah - Coway,-6.1930175,106.655505
Kios Daging MITMI,-6.2387966,106.7169715
Hypermart Cyberpark Karawaci - GrabExpress Pick Up Point,-6.2221307,106.6191875
Ayodhya Shopping Arcade,-6.1995211,106.6309339
Indomaret Ciledug,-6.2254213,106.7111992
Galery Sally AB,-6.2257333,106.6785285
Planet Ban Parung Serab,-6.255736,106.7039023
Super Indo,-6.2146835,106.6872028
Jual Gas Bude Bambang,-6.2290965,106.68024
Toko Hendra Jalan Pratama,-6.2443606,106.7438415
AEON,-6.221033,106.6546843
Tomang Tol Plaza Ciledug,-6.233015177488216,106.73075968738877
Hypermart Cyberpark Karawaci,-6.221683315651165,106.61903660101034
Carrefour TransMart Cikokol,-6.2072481438262255,106.62940357330604
Tip Top,-6.188217908808024,106.59901838536251
Alfamart,-6.225523722672852,106.65676490348798
Alfamart,-6.194274400804828,106.63636831707213
Hari Hari Swalayan Ciledug,-6.2267102843032465,106.7161139417501
Superindo,-6.2488745,106.9691274
GS Supermarket,-6.2780371,106.9910525
Giant Mega Bekasi Hypermall,-6.2493694,106.9922246
Superindo,-6.2074903,107.0201748
Naga Swalayan Kranji,-6.2250838,106.9795567
Gudang Buah Segar Abadi Ruko Kranji,-6.2291892,106.9766656
Alfamart,-6.3098095,107.022719
Alfamidi,-6.3100353,107.022538
Indomaret,-6.3088268,107.0255679
Alfamart,-6.3089529,107.0262843
Indomaret,-6.3119279,107.0220621
Alfamart,-6.3127086,107.0220431
Indomaret,-6.3089837,107.0217184
Mama Foods Agen Frozen Foods,-6.2277195,107.00627
Total Buah Segar,-6.2280543,107.0023134
Alfamart,-6.2813067,107.0061437
Toko Pakaian Angga Bekasi,-6.1766013,107.0090608
Naga Swalayan Bekasi,-6.2953285,106.9212279
Living Plaza Harapan Indah,-6.1843068,106.9746085
Intermedia Book Store,-6.3166534,107.0201429
Indomaret,-6.3377851,106.9450736
alfamart,-6.3461029,106.9431787
WAKABI STORE,-6.2814423,106.9114278
Living Plaza Bekasi,-6.250377247749907,106.99110575051304
Tiptop Pondokgede,-6.285560579550927,106.91803737133223
Naga Swalayan,-6.2941722840574466,106.964962770557
Superindo,-6.304635974524094,106.93220389792235
Superindo,-6.26383355514416,106.94988693943692
Ruko,-6.290022397097136,106.96642926773565
Super Indo,-6.230733616911502,106.96046628570767
GIANT,-6.232144200879064,107.02552942646771
Lotte Grosir,-6.256252891895757,106.99297077496219
Alfamidi,-6.258762855920957,106.90996507736257
Alfamart Jembatan 1,-6.2730563934774635,107.00840322597666
Alfamart Jembatan 1,-6.273128730246366,107.00839904061155
Alfamart,-6.283189750000001,106.92951334999998
Superindo,-6.2868410677100215,106.94381112485434
GS Supermarket Jatibening,-6.267694293112912,106.94363522336394
Alfamart,-6.2654488736973155,107.01194799796338
Alfamart,-6.297045835016862,107.0170315011463
Alfamart,-6.2952589123153615,106.99680156956907
Alfamart,-6.274678487517385,107.00481993802813
Alfamart Bekasi Timur Regensi 5,-6.335936449999999,107.0102756
Alfamart,-6.329576367680046,107.00351598605039
Super Indo Padurenan,-6.319659955913861,107.01391166973319
Naga Swalayan Pondok Ungu,-6.196790004839075,106.97475593613595
Superindo,-6.256132188255748,106.94257828804614
Fresh Market Galaxy,-6.275392720188343,106.97298645195033
Total Buah Segar,-6.277433685992073,106.97525277503571
Total Buah Segar,-6.247460414816543,106.98001066547745
